code	prefLabel	broader	definition
01000000	arts, culture, entertainment and media		All forms of arts, entertainment, cultural heritage and media
02000000	crime, law and justice		The establishment and/or statement of the rules of behavior in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organizations and bodies involved in these activities
03000000	disaster, accident and emergency incident		Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property
04000000	economy, business and finance		All matters concerning the planning, production and exchange of wealth.
05000000	education		All aspects of furthering knowledge, formally or informally
06000000	environment		The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings
07000000	health		All aspects of physical and mental well-being
08000000	human interest		Item that discusses individuals, groups, animals, plants or other objects in an emotional way
09000000	labor		Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed.
10000000	lifestyle and leisure		Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel.
11000000	politics and government		Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states.
12000000	religion		Belief systems, institutions and people who provide moral guidance to followers
13000000	science and technology		All aspects pertaining to human understanding of, as well as methodical study and research of natural, formal and social sciences, such as astronomy, linguistics or economics
14000000	society		The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning
15000000	sport		Competitive activity or skill that involves physical and/or mental effort and organizations and bodies involved in these activities
16000000	conflict, war and peace		Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts
17000000	weather		The study, prediction and reporting of meteorological phenomena
20000002	arts and entertainment	http://cv.iptc.org/newscodes/mediatopic/01000000	All forms of arts and entertainment
20000003	animation	http://cv.iptc.org/newscodes/mediatopic/20000002	Stories told through animated drawings in either full-length or short format
20000004	cartoon	http://cv.iptc.org/newscodes/mediatopic/20000002	Drawings, such as editorial cartoons and comic strips, often using humor or satire
20000005	movies	http://cv.iptc.org/newscodes/mediatopic/20000002	Stories told through motion pictures, such as full-length or short format documentary or fictional features
20000006	film festival	http://cv.iptc.org/newscodes/mediatopic/20001181	All forms of national and international film festivals
20000007	dance	http://cv.iptc.org/newscodes/mediatopic/20000002	A form of performing art consisting of purposefully selected sequences of human movement
20000008	ballet	http://cv.iptc.org/newscodes/mediatopic/20000007	A classical dance form based on formal gestures, steps and postures
20000009	modern dance	http://cv.iptc.org/newscodes/mediatopic/20000007	A theatrical dance style based on free-style expression rather than formal gestures
20000010	traditional dance	http://cv.iptc.org/newscodes/mediatopic/20000007	Dance style that reflects the life and culture of a specific group of people or region, such as folk and ceremonial dance
20000011	fashion	http://cv.iptc.org/newscodes/mediatopic/20000002	Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends
20000012	jewelry	http://cv.iptc.org/newscodes/mediatopic/20000011	Decorative items worn for personal expression and adornment, such as rings, necklaces, earrings
20000013	literature	http://cv.iptc.org/newscodes/mediatopic/20000002	The telling of a story through written language
20000014	drama (literature)	http://cv.iptc.org/newscodes/mediatopic/20000013	Work written to be performed on the stage
20000015	fiction	http://cv.iptc.org/newscodes/mediatopic/20000013	Written works that are not based on fact, but are the creation of the author's imagination
20000016	non-fiction	http://cv.iptc.org/newscodes/mediatopic/20000013	Written works that are based on fact
20000017	poetry	http://cv.iptc.org/newscodes/mediatopic/20000013	Written works that use the esthetic and rhythmic qualities of language to express a message or emotion
20000018	music	http://cv.iptc.org/newscodes/mediatopic/20000002	A form of performing art using instruments or voice to create different sounds, tones and harmonies
20000019	musical instrument	http://cv.iptc.org/newscodes/mediatopic/20000018	Objects used to play music on
20000020	musical performance	http://cv.iptc.org/newscodes/mediatopic/20000018	Musicians performing for an audience for the purpose of entertainment
20000021	musical genre	http://cv.iptc.org/newscodes/mediatopic/20000018	A distinguishable type of music
20000022	classical music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music rooted in the traditions of Western music, including both religious and secular music, such as symphony, concerto and sonata.
20000023	country music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music that originated in the southern United States, often consisting of ballads or dance tunes and featuring string instruments such as banjos, fiddles and guitars
20000024	folk music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music that developed from traditional popular cultures, often based on story telling
20000025	jazz music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music with roots in blues and ragtime that originated in African American communities of New Orleans in the United States in the late 19th and early 20th centuries
20000026	popular music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music that is widely accessible and designed to appeal to all
20000027	rock and roll music	http://cv.iptc.org/newscodes/mediatopic/20000021	A genre of music that originated in the United States during the late 1940s and early 1950s, evolving from African American musical styles such as gospel, jump blues, jazz, boogie woogie, and rhythm and blues.
20000028	opera	http://cv.iptc.org/newscodes/mediatopic/20000029	A form of performing art where classically trained musicians and singers perform a musical and dramatic work
20000029	theater	http://cv.iptc.org/newscodes/mediatopic/20000002	A form of performing art where live performers portray a narrative to an audience through dialog and action
20000030	music theater	http://cv.iptc.org/newscodes/mediatopic/20000029	A form of performing art where live performers portray a narrative to an audience through song, dialog and action, such as musicals and operettas
20000031	visual arts	http://cv.iptc.org/newscodes/mediatopic/20000002	A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.
20000032	architecture	http://cv.iptc.org/newscodes/mediatopic/20000031	The design of buildings, monuments and the spaces around them
20000033	design (visual arts)	http://cv.iptc.org/newscodes/mediatopic/20000031	An artistic discipline which focuses on visual communication and presentation, the final product of which can range from jewelry to interior design
20000034	drawing	http://cv.iptc.org/newscodes/mediatopic/20000031	A form of visual arts using mediums such as pencils, markers, pen and ink, charcoal
20000035	painting	http://cv.iptc.org/newscodes/mediatopic/20000031	A form of visual arts using mediums such as oil paint, watercolor, pastel, crayon
20000036	photography	http://cv.iptc.org/newscodes/mediatopic/20000031	A form of visual arts using photographic images
20000037	sculpture	http://cv.iptc.org/newscodes/mediatopic/20000031	A form of visual arts using mediums such as clay, stone, wood and metal to create three-dimensional works
20000038	culture	http://cv.iptc.org/newscodes/mediatopic/01000000	The ideas, customs, arts, traditions of a particular group of persons
20000039	cultural development	http://cv.iptc.org/newscodes/mediatopic/20000038	The history of the development of art and culture such as the rise of cave paintings, linguistic variations over time, the evolution of values
20000040	customs and tradition	http://cv.iptc.org/newscodes/mediatopic/20000038	A particular way of behaving, or observances that have developed over time by a group of people
20000041	festive event (culture)	http://cv.iptc.org/newscodes/mediatopic/20000038	An event ordinarily celebrated by a community and centering on some characteristic aspect of that community and its religion or traditions
20000042	language	http://cv.iptc.org/newscodes/mediatopic/20000038	The method of human communication, either spoken or written, consisting of words that are used in a structured and conventional way
20000043	library and museum	http://cv.iptc.org/newscodes/mediatopic/20000038	Institutions that house collections of books, music, art, or objects from the past and present optionally for public use and display
20000044	monument and heritage site	http://cv.iptc.org/newscodes/mediatopic/20000038	Commemorations of historical people, events, or the areas containing them, in the form of structures such as sculptures, statues or buildings
20000045	mass media	http://cv.iptc.org/newscodes/mediatopic/01000000	Media addressing a large audience
20000046	news media	http://cv.iptc.org/newscodes/mediatopic/20000045	The presentation of news to the public through different platforms, such as TV, radio, newspapers, magazines, web pages and blogs
20000047	newspaper	http://cv.iptc.org/newscodes/mediatopic/20000045	Daily or weekly publication that presents the news, locally, regionally or globally, as well as features, opinion columns, comics and other content
20000048	online media outlet	http://cv.iptc.org/newscodes/mediatopic/20000045	Publication distributing content, such as articles, blogs, photos, video and music, only over the internet
20000049	periodical	http://cv.iptc.org/newscodes/mediatopic/20000045	Publication that is usually published weekly, bi-weekly, monthly or annually, such as magazines, journals or newsletters
20000050	radio	http://cv.iptc.org/newscodes/mediatopic/20000045	Audio content, such as news, entertainment or information, distributed via broadcast or internet
20000051	television	http://cv.iptc.org/newscodes/mediatopic/20000045	Video content, such as news, entertainment or information, distributed via broadcast or internet
20000053	act of terror	http://cv.iptc.org/newscodes/mediatopic/16000000	Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population
20000054	act of bioterrorism	http://cv.iptc.org/newscodes/mediatopic/20000053	Attacks using biological agents intended to raise the level of fear within a population
20000055	terrorist bombings	http://cv.iptc.org/newscodes/mediatopic/20000053	Intentional use of explosive devices on people, buildings or other structures
20000056	armed conflict	http://cv.iptc.org/newscodes/mediatopic/16000000	Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars
20000057	guerrilla activity	http://cv.iptc.org/newscodes/mediatopic/20000056	Anti-government or wartime actions by clandestine or non-state combatant groups, often using tactics such as ambush, sabotage, raids and kidnapping
20000058	international military intervention	http://cv.iptc.org/newscodes/mediatopic/20000056	The temporary use of international forces in a country or region that requires outside help with resolving a crisis
20000059	peacekeeping force	http://cv.iptc.org/newscodes/mediatopic/20000073	The military forces of a nation, or of several nations working together, whose mission is to maintain peace in areas of conflict
20000060	military occupation	http://cv.iptc.org/newscodes/mediatopic/20000056	The temporary forceful taking over of a country or region by invading military forces
20000061	missing in action	http://cv.iptc.org/newscodes/mediatopic/20001377	Civilians or military personnel who have gone missing during or after hostilities, conflicts or war
20000062	war	http://cv.iptc.org/newscodes/mediatopic/20000056	Armed hostilities by one group or geopolitical entity against another
20000063	civil war	http://cv.iptc.org/newscodes/mediatopic/20000062	Armed conflict between members of the same country, in some cases with the goal of dividing the country
20000064	war crime action	http://cv.iptc.org/newscodes/mediatopic/20000062	Actions alleged as crimes committed during a war or armed conflict, usually against civilians or POWs
20000065	civil unrest	http://cv.iptc.org/newscodes/mediatopic/16000000	Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions
20000066	protests and demonstrations	http://cv.iptc.org/newscodes/mediatopic/20000065	A non-violent public show of support for or opposition to a cause, idea or policy, in the form of a mass meeting or march
20000067	rebellion	http://cv.iptc.org/newscodes/mediatopic/20000065	Organized actions of opposition to a government or ruling party by a country's residents, often violent and with the aim of overthrowing the government
20000068	revolution	http://cv.iptc.org/newscodes/mediatopic/20000065	A forcible and often violent change to, or overthrow of, a country's political system or social order by internal forces, in favor of a new system
20000069	riot	http://cv.iptc.org/newscodes/mediatopic/20000065	Violent, destructive events of civil disorder by groups of people, usually in response to a grievance or as acts of opposition, often involving injury to individuals and destruction of property
20000070	coup d'etat	http://cv.iptc.org/newscodes/mediatopic/16000000	The overthrow of an established government by an organized military or political group
20000071	massacre	http://cv.iptc.org/newscodes/mediatopic/16000000	The mass killing of people, usually civilians, during wartime hostilities
