code	name	definition
01000000	arts, culture and entertainment	Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions 
01001000	archaeology	Probing the past through ruins and artefacts 
01002000	architecture	Designing of buildings, monuments and the spaces around them 
01003000	bullfighting	Classical contest pitting man against the bull 
01004000	festive event (including carnival)	Parades, parties, celebrations and the like not necessarily tied to a fixed occasion or date 
01005000	cinema	Cinema as art and entertainment 
01005001	film festival	National and international motion pictures festivals, selections, festival juries, nominations, awards etc. 
01006000	dance	The expression of emotion or message through movement 
01007000	fashion	The design of clothing and accessories 
01007001	jewelry	Accessories to clothing 
01008000	language	The means by which people communicate with each other 
01009000	library and museum	Edifices used to house collections of books, music, art, or objects from the past and present for public use and display 
01010000	literature	The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public 
01010001	fiction	Structured stories that are usually not based on fact but are the creation of the authors imagination 
01010002	poetry	The art, structure, forms of poetic expression 
01011000	music	Expressing emotion or message through instruments or voice using different sounds, tones, harmonies and the like 
01011001	classical music	Music that follows classic structures of rhythm and harmony 
01011002	folk music	Music that developed from folk cultures, often based on story-telling 
01011003	jazz music	A music of diverse harmonics, often improvised 
01011004	popular music	The latest fad in music, generally aimed at the younger generation 
01011005	country music	Similar to folk but is unique to the United States and is less about story telling than about loves sought and lost 
01011006	rock and roll music	Popular dance music developed in the 1950s 
01011007	hip-hop	A contemporary urban music originating in the 1970s. 
01012000	painting	Using the mediums of oils, watercolour, pastel, pencils, chalk, crayon etc on various grounds to express emotion or message 
01013000	photography	Mechanical means of creating images of objects by use of light and light sensitive materials with chemicals or by digitals means 
01014000	radio	Radio as art and entertainment 
01015000	sculpture	Representation of forms in clays, stone, woods, metals or other materials 
01015001	plastic art	Forms of hand created art including installations 
01016000	television	Television as art and entertainment 
01016001	soap opera	Episodic TV drama or saga, normally aired during daytime 
01017000	theatre	Telling of a story or idea through dialogue, music and physical expression in a space or building designed for it 
01017001	music theatre	Opera, operetta, music revues etc 
01018000	monument and heritage site	Areas containing commemorative objects for historical people or events 
01018001	institution-DEPRECATED	NA
01019000	customs and tradition	A particular way of behaving, or observances that have developed over time by a group of people 
01020000	arts (general)	The collective expression of message or emotion through music, literature, painting, theatre or other means 
01021000	entertainment (general)	The collective use of television, radio, theatre, music and the like for the amusement of people 
01021001	entertainment award	Awards for achievement in the entertainment industry, such as the Oscars for film, the Booker Prize for Literature, the Grammys for music, or induction into halls of fame. 
01022000	culture (general)	The ideas, customs, arts, skills of a particular group 
01022001	cultural development	The history of the development of art and culture such as the rise of cave paintings, pre-Colombian art, Chinese paper-making, anything non-political 
01023000	nightclub	A commercial establishment providing music, or other entertainment along with food and drink to selected clientele 
01024000	cartoon	Still images such as editorial cartoons and comic strips 
01025000	animation	Animation, including full-length and short cinema, artists and merchandising of goods featuring animation characters. 
01026000	mass media	Television, radio, magazines, newspapers etc 
01026001	periodicals	Written material that is usually published weekly, bi-weekly, monthly or annually for a long time 
01026002	news media	Television, wire services, radio that collect facts about incidents, developing and presenting them to audiences as a whole story 
01026003	newspapers	Daily or weekly publications that present the day to day history of the world, as well as features, comics etc 
01026004	reviews	A critical look at someone else's work, whether film, theatre or writing 
01027000	internet	Internet as art and entertainment 
01028000	history	Issues connected with the past; discoveries, repair, conservation or display of artifacts; anniversaries of historic events 
02000000	crime, law and justice	Establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules and the punishment of offenders. Organizations and bodies involved in these activities. 
02001000	crime	Violation of established laws by individuals, companies or organizations 
02001001	homicide	Killing of one person by another 
02001002	computer crime	Theft or destructive behaviour using a computer 
02001003	theft	Unlawful taking 
02001004	drug trafficking	Dealing in illicit often harmful substances 
02001005	sexual assault	Sexual battery of one sex against another 
02001006	assault (general)	Battery, slugfests, brawls and threatening behaviour 
02001007	kidnapping	To seize and detain or carry away a person against that person's will by unlawful threat, force or fraud 
02001008	arson	Intentional setting of fires with criminal intent 
02001009	gang activity	Criminal activities by groups of individuals, usually in urban areas, who are allied by common territories, languages, ethnic backgrounds but generally are loosely organized. 
02001010	terrorism	Violence against people to create fear in order to achieve political or ideological objectives 
02002000	judiciary (system of justice)	The system set up to deal with crime and those who do them 
02002001	lawyer	Anyone legally able to represent another person or entity in a legal matter, such as a lawyer, solicitor, barrister, procurator, notary. 
02002002	judge	Members of the bench that sit in judgement 
02002003	court administration	Court clerks, bailiffs, stenographers etc. 
02003000	police	Agents of the legal system set up enforce the laws 
02003001	law enforcement	Agencies involved in attempts to prevent disobedience to established laws, or to bring to justice those that disobey those laws 
02003002	investigation	Process of inquiry of a possible crime up to the point of arrest 
02003003	arrest	Detention of a suspect of a crime 
02004000	punishment	The retribution handed out to those who break the laws 
02004001	fine	Monetary punishment 
02004002	execution	The carrying out of executions by a government or state, not by extralegal groups/organisations 
02005000	prison	Also know as jails, lockups, calaboose, etc. for keeping law breakers from society 
02006000	laws	The codification of rules of behaviour 
02006001	criminal	The criminal code system 
02006002	civil	The civil code system 
02007000	justice and rights	The equitable administration of laws and regulations 
02007001	civil rights	Rights of individuals under civil law 
02008000	trials	The process by which guilt or innocence, or right or wrong is determined and adjudged 
02008001	litigation	Taking disputed issues to court for settlement by judge and/or jury 
02008002	arbitration	Resolution of disputed issues by a neutral panel 
02008003	court preliminary	Pre-trial events including pleas, bail, motions, discovery, depositions. 
02009000	prosecution	Stories regarding activities and investigations by public prosecutors. 
02009001	defendant	The person on trial 
02009002	witness	A person who testifies 
02010000	organized crime	Crimes committed by gangs or criminal groups. 
